;name;salary_from;salary_to;currency;experience;schedule;schedule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Программист C (Linux);;;;Более 6 лет;Полный день;Полный день;Linux;embedded;C/C++;встроенное ПО;Multithread Programming;Embedded Linux;;;;;;;;;;;;;;;;;;;;;;;;
28;Системный, kernel программист Linux;;;;Более 6 лет;Полный день;Полный день;Linux;C/C++;TCP/IP;FIrewall;Proxy;Python;Perl;Bash;ARM;MIPS;JTAG;ПЛИС;FPGA;;;;;;;;;;;;;;;;;
39;Преподаватель по робототехнике и программированию;300000.0;;KZT;Более 6 лет;Полный день;Полный день;Грамотная речь;Работа в команде;Английский язык;Преподавание;Умение работать с детьми;Творческий подход к работе;Терпеливость;Грамотность;Scratch;Python;Робототехника;;;;;;;;;;;;;;;;;;;
65;Руководитель группы разработки;15000000.0;;UZS;Более 6 лет;Полный день;Полный день;Написание технических заданий;Организация рабочего процесса;Стремление развиваться;Лояльность;SQL;Python;Java;JS;Паттерны проектирования;Oracle DB;Критически мыслить;Выполнение поставленных задач;;;;;;;;;;;;;;;;;;
69;Senior Python Developer;;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;PostgreSQL;FastAPI;AWS;Kubernetes;Docker;;;;;;;;;;;;;;;;;;;;;;;;
81;Lead Data Engineer;;;;Более 6 лет;Удаленная работа;Удаленная работа;Spark;Leadership Skills;PowerBI;English;Azure;;;;;;;;;;;;;;;;;;;;;;;;;
124;ML Team Lead (data scientist);;750000.0;RUR;Более 6 лет;Полный день;Полный день;Python;PyTorch;Tensorflow;Deep Learning;Keras;stock prediction;reinforcement learning;;;;;;;;;;;;;;;;;;;;;;;
172;Teamlead разработчик;300000.0;;RUR;Более 6 лет;Гибкий график;Гибкий график;Разработка ПО;Системное мышление;C/C++;SaaS;REST API;Асинхронное программирование;Backend;Lua;Openresty;Python;Clickhouse;RethinkDB;Redis;Freeswitch;Kamailio;RTPengine;API;OpenOffice;Оптимизация кода;Организация рабочего процесса;;;;;;;;;;
177;TechLead;;;;Более 6 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;DSP/ISP Researcher Scientist, Armenia;;;;Более 6 лет;Полный день;Полный день;Python;CUDA;DSP;ISP;C/C++;;;;;;;;;;;;;;;;;;;;;;;;;
255;Python разработчик Senior/Lead;180000.0;270000.0;RUR;Более 6 лет;Гибкий график;Гибкий график;Python;Django Framework;PostgreSQL;RabbitMQ;Celery;Построение команды;Умение работать в условиях многозадачности;Соблюдение сроков;Управление проектами;;;;;;;;;;;;;;;;;;;;;
276;Разработчик Perl;200000.0;300000.0;RUR;Более 6 лет;Удаленная работа;Удаленная работа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;Fullstack разработчик Python;600000.0;1000000.0;KZT;Более 6 лет;Полный день;Полный день;PostgreSQL;JavaScript;Python;Django Framework;Git;;;;;;;;;;;;;;;;;;;;;;;;;
379;NLP Analyst;250000.0;;RUR;Более 6 лет;Полный день;Полный день;Python;linguistics;NLP;ML;sklearn;PyTorch;Machine Learning;Deep Learning;TensorFlow2;AI;;;;;;;;;;;;;;;;;;;;
390;Старший Python-разработчик;200000.0;300000.0;RUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;C/C++;Алгоритмы;Асинхронное программирование;Архитектура;Фреймворки;;;;;;;;;;;;;;;;;;;;;;;;
463;Team Lead Python;6500.0;;USD;Более 6 лет;Полный день;Полный день;Английский язык;PostgreSQL;Управление проектами;Erlang;SQL;Python;Управление процессами;Elasticsearch;Kafka;Teamleading;;;;;;;;;;;;;;;;;;;;
509;Team Lead QA Python компания MTS AI;;330000.0;RUR;Более 6 лет;Удаленная работа;Удаленная работа;QA;Python;PyTest;Selenium;;;;;;;;;;;;;;;;;;;;;;;;;;
513;Team Lead Python Developer;300000.0;;RUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;ML;Flask;Django;FastAPI;SQL;Git;;;;;;;;;;;;;;;;;;;;;;;
575;Team Lead Python;6500.0;;USD;Более 6 лет;Полный день;Полный день;Английский язык;PostgreSQL;Управление проектами;Erlang;SQL;Python;Управление процессами;Elasticsearch;Kafka;Teamleading;;;;;;;;;;;;;;;;;;;;
597;Senior Python разработчик;;;;Более 6 лет;Полный день;Полный день;Python;Git;Linux;PostgreSQL;SQL;;;;;;;;;;;;;;;;;;;;;;;;;
657;Ведущий full-stack разработчик (Python, JS);250000.0;350000.0;RUR;Более 6 лет;Удаленная работа;Удаленная работа;JavaScript;Python;Unix Shell Scripts;Unix;Linux;FFmpeg;;;;;;;;;;;;;;;;;;;;;;;;
689;Разработчик python (Senior/Lead);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805;Senior Python Developer;5000.0;;EUR;Более 6 лет;Полный день;Полный день;Python;asyncio;aiohttp;fastAPI;PostgreSQL;ORM;DBMS;English;;;;;;;;;;;;;;;;;;;;;;
820;Senior/Lead python developer (Cyprus);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;Английский язык;SQL;Gitlab;AWS;Snowflake;;;;;;;;;;;;;;;;;;;;;;;;
823;Lead Python developer;;9000.0;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;PostgreSQL;SQL;Linux;Git;Английский язык;Flask;;;;;;;;;;;;;;;;;;;;;;;
830;Senior Python разработчик;;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;ClickHouse;SQL;Linux;Flask;AWS;Pandas;;;;;;;;;;;;;;;;;;;;;;;
865;Ведущий инженер-программист (Python);;;;Более 6 лет;Полный день;Полный день;Python;Linux;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
884;Разработчик python (Senior/Lead);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
944;Python developer (SMS gateway development);1800.0;2000.0;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;PostgreSQL;Git;Linux;Redis;MySQL;Django Framework;Docker;API;Flask;aiohttp;NoSQL;asyncio;queries;parsing;SMPP protocol;SMS gateway;;;;;;;;;;;;;
946;Разработчик python (Senior/Lead);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
955;Старший системный администратор Linux / Инженер внедрения;;;;Более 6 лет;Полный день;Полный день;Linux;Bash;Python;Git;MySQL;;;;;;;;;;;;;;;;;;;;;;;;;
965;Ведущий разработчик (Python+JavaScript);280000.0;350000.0;RUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;Linux;PostgreSQL;Git;TypeScript;JavaScript;Docker;Ubuntu Server;Kubernetes;;;;;;;;;;;;;;;;;;;;;
966;Разработчик python (Senior/Lead);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
972;Middle/Senior Python-разработчик в команду Добычи данных;;;;Более 6 лет;Полный день;Полный день;Docker;PostgreSQL;k8s;Python;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;Lead Data Engineer (Remote);5000.0;7000.0;USD;Более 6 лет;Гибкий график;Гибкий график;Python;Английский язык;Linux;SQL;PostgreSQL;ClickHouse;AWS;;;;;;;;;;;;;;;;;;;;;;;
